smiles,name,id,atc,atc_name_1,atc_name_2,atc_name_3,atc_name_4,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo
Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,AVACOPAN,CHEMBL3989871,L04AJ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Complement inhibitors,581.6540000000003,8.048040000000006,3,2,2.0,0.28974362152751515,2,61.440000000000005,0,0,0,0.18342336,0.77309227,0.6815769,0.060397893,0.87048113,0.09238058,0.8099712,0.07029958,0.10647555,0.83816636,0.96725,0.03118226,0.08810015,0.89150983,0.99999934,0.0038315826,0.016220015,0.27231282,0.3601007,0.029187322,0.1306501,0.021390552,0.92521966,0.98899114,0.6487751,0.036877275,0.1423618,0.78731996,0.14482406,0.14438616,0.9377896,-5.1694336,42.06706,84.93768,129.1567,-10.82948,3.5072377,4.532998,101.45253,-6.470781,9.479312
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,TRIMEPRAZINE TARTRATE,CHEMBL3989885,,,,,,298.45500000000004,4.487000000000004,3,0,4.0,0.8210774052142695,1,6.48,1,0,0,0.13760899,0.9874562,0.86677235,0.40786356,0.17373554,0.26149628,0.019327471,0.7936118,0.92322826,0.6375813,0.04377538,0.20660904,0.3282848,0.1261377,0.9998595,0.0019381199,0.008509801,0.024564166,0.01706696,0.006621214,0.055619366,0.0038735464,0.95711434,0.5641607,0.07553119,0.0005014979,0.009211457,0.051417965,0.005866886,0.805064,0.9555562,-4.31591,88.3719,53.554657,28.065207,-7.937458,2.6174798,2.8527925,88.31283,-4.028952,7.3009033
CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,ENASIDENIB,CHEMBL3989908,L01XM,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Isocitrate dehydrogenase (IDH) inhibitors,473.3810000000001,4.292600000000002,8,3,4.0,0.4552702646600812,0,108.74,0,0,0,0.15713206,0.45936856,0.9173148,0.9152093,0.5417568,0.18244284,0.33719245,0.13338394,0.40500164,0.6866657,0.6295967,0.40387225,0.44618073,0.98340064,0.9996294,0.041812144,0.023489973,0.90209484,0.5649946,0.070553385,0.33283043,0.069523945,0.9283856,0.72837156,0.776123,0.36438268,0.122501925,0.7776065,0.48304635,0.09710616,0.894999,-5.1511045,1.5186714,19.581177,71.31945,-12.263298,3.0514278,3.2329097,94.018,-4.3103075,8.738828
Cc1ccccc1-c1cc(N2CC[N+](C)(COP(=O)([O-])O)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,FOSNETUPITANT,CHEMBL3989917,,,,,,688.6060000000004,5.736620000000006,6,1,2.0,0.1830334778926814,1,106.03,0,2,1,0.06263261,0.117022835,0.24765952,0.105920054,0.12518613,0.003272967,0.028184962,0.22592299,0.5877897,0.18344656,0.7453149,0.14017357,0.0042300536,0.06744178,0.12865287,0.009226165,0.07059548,0.023095889,0.17636558,0.03650132,0.12697877,0.00067074725,0.33696598,0.43876705,0.30941415,0.0047460273,0.0055972096,0.13662153,0.013455138,0.4727252,0.937764,-5.8944044,-4.4065666,44.36895,75.53624,-17.032642,3.3091114,2.747725,95.01068,-2.6935303,4.5886292
Cc1ccccc1-c1cc(N2CC[N+](C)(COP(=O)(O)O)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,FOSNETUPITANT CHLORIDE HYDROCHLORIDE,CHEMBL3989919,,,,,,689.6140000000005,6.368620000000008,5,2,2.0,0.16112918911492194,0,103.19999999999999,0,2,1,0.05146023,0.08616397,0.14379728,0.12734793,0.13293314,0.0012883696,0.026146527,0.18707125,0.5738226,0.09139594,0.59605217,0.14669389,0.0020799143,0.03209977,0.023350704,0.005953733,0.07565261,0.022404317,0.18665302,0.04207496,0.13888016,0.00031966655,0.22872448,0.34300348,0.29995224,0.0032767938,0.0043955017,0.10323747,0.0070872256,0.49173585,0.9203542,-5.9191103,1.2761109,48.138878,67.94014,-17.711048,3.2953706,2.8417492,95.311935,-2.9048696,5.570737
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](OCC[N+](C)(C)C)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,REZAFUNGIN ACETATE,CHEMBL3989928,J02AX,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Other antimycotics for systemic use,1226.4120000000003,-0.19659999999998878,17,13,1.0,0.045331203169163066,15,366.41999999999996,0,2,1,0.42214888,0.0034649917,0.04374679,8.910558e-06,0.017596032,1.7517628e-05,0.0035812878,0.00016418991,0.0062560244,0.08227749,0.050013877,0.0040123584,0.19514886,0.5156504,0.0037363053,0.017386315,0.2356625,0.001133978,0.048720017,0.067417696,0.22419374,0.0005045052,0.00015928876,0.09635919,0.052510798,0.07364976,0.0003668139,0.018434579,0.14024587,0.10367028,0.6814369,-7.708323,1.9704117,122.642494,52.97697,-48.844643,3.6494973,2.6257827,92.25607,-4.0354214,11.837175
COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,DIROXIMEL FUMARATE,CHEMBL3989944,L04AX,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Other immunosuppressants,255.2259999999999,-0.592200000000001,6,0,4.0,0.3702501101980568,0,89.98000000000002,0,2,0,0.40657172,0.9287268,0.6722461,0.1090621,0.16817072,0.2076083,0.033991262,0.053184044,0.013517645,0.46425876,0.015270049,0.22145858,0.03162252,0.4660942,0.9949439,0.0749356,0.020261254,0.006558165,0.014525329,0.026751224,0.07304561,0.056857336,0.85929644,0.006296356,0.33564752,0.06847717,0.106890425,0.0061218916,0.09558363,0.82001084,0.030506885,-4.223609,114.00598,80.33995,-25.36198,-9.760878,1.6892385,0.110710144,56.457664,-1.9968395,-5.4488587
NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,CENOBAMATE,CHEMBL3989949,N03AX,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,267.67600000000004,1.1630999999999994,5,1,4.0,0.8966858117841482,1,95.92000000000002,0,0,0,0.4684984,0.90512025,0.89422476,0.06265394,0.23608856,0.27157348,0.047699295,0.048016362,0.026849717,0.47691458,0.051109158,0.40700117,0.06605725,0.8073993,0.9996134,0.0041542756,0.0046200254,0.017166248,0.024499957,0.0052236016,0.060477424,0.0095443465,0.80217487,0.010112943,0.10687582,0.009044347,0.0219672,0.0110832555,0.023826847,0.57491684,0.09300161,-5.049778,51.96958,27.720592,-15.309108,-14.20521,2.2908177,1.3102081,72.286575,-2.742517,-1.8456875
N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,IVOSIDENIB,CHEMBL3989958,L01XM,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Isocitrate dehydrogenase (IDH) inhibitors,582.9700000000001,4.324580000000004,6,1,3.0,0.4429869547987632,2,119.28999999999999,0,0,0,0.016061116,0.14982429,0.8455865,0.0003359994,0.079541594,0.25855044,0.2214443,0.010720106,0.003392366,0.4754726,0.53157675,0.0996419,0.072077736,0.9813638,0.99375916,0.007081685,0.03304163,0.010176924,0.04914324,0.0036790285,0.021101883,0.030028602,0.31408644,0.40744153,0.20585346,0.01341528,0.011874909,0.038317673,0.09762225,0.056601167,0.21785417,-4.883104,48.339256,67.048416,26.165863,-13.912003,3.2135074,3.3803322,98.03752,-5.594678,-1.0324118
Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,PEMETREXED TROMETHAMINE,CHEMBL3989962,,,,,,427.4170000000001,0.6664000000000003,6,6,3.0,0.2867441070042202,1,191.26,0,0,0,0.24873176,0.18990357,0.42688236,0.0028601475,0.018364873,0.031320788,0.024259392,0.0029988545,0.019783635,0.06961396,0.0039012055,0.22218664,0.5057997,0.798594,0.08546518,0.01057461,0.063155815,0.036076277,0.0054916414,0.021941952,0.11642339,0.002645374,0.002781528,0.002811509,0.052290745,0.014515579,0.0031443227,0.0030478241,0.061246067,0.22216833,0.051529743,-7.0884657,-25.810537,-4.5663652,40.368057,-31.911526,2.29755,-2.4031396,73.84798,-4.238002,-0.113199994
